iter	RMSE
0	1.200101368
1	1.050463915
2	0.9217037517
3	0.8332778037
4	0.7562267973
5	0.678746241
6	0.6142641528
7	0.5582853074
8	0.5133697305
9	0.4795851075
10	0.4507855205
11	0.423448364
12	0.4036557
13	0.3900564587
14	0.3755259607
15	0.3618884835
16	0.3572804667
17	0.3455325789
18	0.3298098266
19	0.3235798427
20	0.312617021
21	0.3065742295
22	0.3005426728
23	0.293407748
24	0.2856780013
25	0.2834454131
26	0.2768236123
27	0.2721650662
28	0.2646947335
29	0.2594578741
30	0.2550143231
31	0.2519405977
32	0.2469257849
33	0.2394346272
34	0.228404247
35	0.2237416166
36	0.2194613523
37	0.217122973
38	0.2159014554
39	0.2133123969
40	0.206498006
41	0.2018796201
42	0.199098738
43	0.1953191458
44	0.1913690193
45	0.1884501576
46	0.1866650466
47	0.1856499667
48	0.1821214905
49	0.1780784756
50	0.175029992
51	0.1725001738
52	0.1716847604
53	0.1706145124
54	0.1683750325
55	0.1677467863
56	0.1649085801
57	0.1644437794
58	0.1636256942
59	0.1632412918
60	0.1614555466
61	0.1596876746
62	0.1592698421
63	0.1579106636
64	0.1530005151
65	0.1507828295
66	0.1494541432
67	0.1484845099
68	0.144933794
69	0.1433298625
70	0.1414095403
71	0.1395372954
72	0.1388228494
73	0.1374807201
74	0.1371489792
75	0.1343150694
76	0.1325610766
77	0.1307245425
78	0.129282607
79	0.1269430615
80	0.125055962
81	0.1237617876
82	0.1232823278
83	0.122157903
84	0.1201600514
85	0.118480306
86	0.1165477423
87	0.1152974926
88	0.1132297339
89	0.1117983678
90	0.1108769006
91	0.1105379628
92	0.1092271516
93	0.1081617327
94	0.1070854412
95	0.1050565046
96	0.1041175198
97	0.1033685738
98	0.1030892255
99	0.101489073
100	0.1012499145
101	0.0998521402
102	0.09860975765
103	0.09751377148
104	0.09643538919
105	0.09559215531
106	0.09435678826
107	0.09398442315
108	0.09302911256
109	0.09243744
110	0.09229697919
111	0.09217320877
112	0.09123688649
113	0.09052159738
114	0.09019292681
115	0.09009299862
116	0.09000295215
117	0.0888396143
118	0.0873623378
119	0.08665025166
120	0.08655319445
121	0.08612208186
122	0.08560652688
123	0.08471445413
124	0.08429373182
125	0.08334548448
126	0.0822395146
127	0.08144746561
128	0.08090576959
129	0.07959034068
130	0.07891876397
131	0.07826947741
132	0.0775182816
133	0.07727561901
134	0.07661613852
135	0.07589213116
136	0.07529481864
137	0.07490519074
138	0.07416089447
139	0.07358988134
140	0.0732572556
141	0.07268653795
142	0.07259675217
143	0.07225093844
144	0.0717730178
145	0.0708802692
146	0.07024816104
147	0.07013102085
148	0.06956039
149	0.06924779273
150	0.06905560726
151	0.06849469638
152	0.06779864966
153	0.0674947739
154	0.06674388327
155	0.06640631888
156	0.06601896612
157	0.06547071775
158	0.06504695923
159	0.06466740967
160	0.06411377192
161	0.06404481848
162	0.06339113102
163	0.06333212137
164	0.06274970169
165	0.06269221127
166	0.06225573222
167	0.06146343382
168	0.06110303381
169	0.06103266203
170	0.0609604715
171	0.06049704719
172	0.06031901411
173	0.05991649743
174	0.05935380104
175	0.05910517961
176	0.05904658644
177	0.05851565826
178	0.05804142828
179	0.05798128661
180	0.05765259672
181	0.05713736088
182	0.05708974891
183	0.05693510133
184	0.05651131318
185	0.05611426711
186	0.05587903388
187	0.05539168982
188	0.0548966755
189	0.05475029532
190	0.05448850231
191	0.05409560872
192	0.05385997162
193	0.05345273057
194	0.05306819915
195	0.05300908886
196	0.05261528868
197	0.05222098659
198	0.051934402
199	0.05155027217
200	0.05130907003
201	0.05118214387
202	0.05102714018
203	0.05068397917
204	0.05041206847
205	0.05015555248
206	0.04975569963
207	0.04935241818
208	0.04916881129
209	0.04904618432
210	0.04896398922
211	0.04864385698
212	0.04813356759
213	0.0478121272
214	0.0476292236
215	0.04755344697
216	0.0475319241
217	0.0471527381
218	0.04681012253
219	0.04642405671
220	0.0461862293
221	0.04615564627
222	0.0459991999
223	0.04573182449
224	0.04540594178
225	0.04510166839
226	0.04501210293
227	0.04457897613
228	0.04427726231
229	0.04406096692
230	0.04377578493
231	0.0435865362
232	0.04335847813
233	0.04315232543
234	0.04298032541
235	0.04260156654
236	0.04225986718
237	0.04221666924
238	0.04192732379
239	0.0417793212
240	0.04146258525
241	0.04123192583
242	0.04095581939
243	0.04071980109
244	0.04050848552
245	0.04046825871
246	0.04033950489
247	0.04027275038
248	0.04024712188
249	0.03995825825
250	0.0397296454
251	0.03942380527
252	0.03913790947
253	0.03889519716
254	0.03861668675
255	0.03837467123
256	0.03820738531
257	0.03813989775
